k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
30,1186577.2161723138,0.15280309111398524,-48.3773114464728,484955.3052640623,397790.923319731,0.8924440576908852,0.9373163950588445,0.6014360741652326,0.6080682585403795,0.8512935247222586,0.8955724330107379
31,1176130.7684931734,0.15160843455967457,-49.623540090584164,498319.6571681066,408249.5875326065,0.8835808181640952,0.9277876405295153,0.5967382747199211,0.6043159101854452,0.8447632163739276,0.8954277945277526
32,1166179.6871073702,0.15308706977715672,-48.58473550768257,494212.6450184099,401236.88769174094,0.8833810768971163,0.9316008777222752,0.5856239281446772,0.5992399048848305,0.8385001031702546,0.8954733693271025
33,1154859.5889702747,0.14869535159351854,-48.481413504829554,497258.33267576457,401376.88765792677,0.9020866360995513,0.9354277104121979,0.5938559088134603,0.5916745367155958,0.8577172485979943,0.8957868893880772
34,1146817.7409816985,0.14750805131735806,-48.42468518112976,500660.27560392476,401873.14289491816,0.9015397007098477,0.9287178433345864,0.590758002021907,0.5837785001499669,0.8574753369288408,0.8925482401902002
35,1132264.5776072522,0.14911902368950536,-47.35128462940584,496288.74267661246,394595.92227643705,0.9035937880311259,0.9277340213533571,0.5897667377057313,0.5842181248582146,0.8592000865423035,0.8960881911997538
36,1124333.3635174015,0.14241140356383872,-46.52537137086683,493809.49759299203,389210.98950164777,0.919315951815635,0.9324579465422451,0.5950839366694652,0.5741461594707371,0.8820516048859323,0.8921647041944604
37,1109661.6191023493,0.14777062339820843,-46.766340283978224,499487.6335938106,391983.4378112975,0.9108905253248591,0.9408061892248926,0.5816359095727058,0.5787436023705335,0.8711814055005741,0.9051222439046213
38,1102348.771143462,0.14884148999481822,-45.719004222968074,495315.3897624958,384905.5062888139,0.8950009062628963,0.9427445896036414,0.5732172408879862,0.5729558940217702,0.8490436384700171,0.9069517687553573
39,1094756.2643500052,0.1443545709667145,-45.9678487132978,501053.7424267257,387738.17126187496,0.907306564300148,0.9417110708485499,0.5697765222565186,0.5741076438221882,0.8650280206629997,0.9092669969017436
40,1094237.865965552,0.139648042422041,-44.77034907564879,495733.34788843023,379512.08903241064,0.9131847299490407,0.9233425725196218,0.5729787296897836,0.5594597126234364,0.8765477169578733,0.8925718942355017
41,1077710.5459689733,0.14384872110264502,-45.105564422099036,502132.09211855766,383005.1455713692,0.9117963611311619,0.9311697089249935,0.5720411439410283,0.5654398073427022,0.8775147846904952,0.9065716071626353
42,1072035.6925023056,0.1384547466068083,-44.47862583214103,501174.20735090756,379141.5731125503,0.8851739385084945,0.9349208819850535,0.5586792449158191,0.5583401494941997,0.8581516613053891,0.9015940609044714
43,1059056.4015490438,0.14318197591281392,-43.44883900999306,497136.14499993296,372197.8230704069,0.8901798202089859,0.943750792827262,0.5669159936360643,0.5576813834835872,0.8713424925227148,0.9120684486949328
44,1057690.8343482772,0.14343946115808395,-44.339669925026456,507783.1258674472,379939.11624675227,0.9272355297435454,0.9371408135299779,0.5726721433118027,0.5567815902758333,0.8926818201397592,0.9080259873927117
45,1046281.1045216208,0.14252148565953374,-44.850047406911166,515521.15978510655,384771.4624732428,0.9355515767154801,0.9406807147408716,0.5679436352955975,0.5509124825912102,0.8984402463650375,0.9102725753055391
46,1036798.2234283075,0.14325822447596592,-44.26986553363443,514920.7768732015,381265.39187016885,0.9412102530202096,0.940375634589375,0.5731072967589167,0.5473490084779716,0.9065435486928567,0.9098569910268642
47,1035905.3025190984,0.13700868251698342,-44.33495423141042,519254.1327475655,382693.0600533641,0.9420112249356958,0.945331342026047,0.5708409513569345,0.5459070125747472,0.9094830781601694,0.9134213331063561
48,1032295.6602596896,0.14268969325896155,-44.2149493696268,522172.26326553675,382705.5028801665,0.9406373525656089,0.9452762882157693,0.5661782359900999,0.5439474883280785,0.9073706785659268,0.9116853953389199
49,1019445.6729384805,0.142456668946361,-44.028048744163,524578.9087744094,382206.4606978703,0.9403932345185533,0.9447036670916849,0.5624548419224857,0.5433398347189475,0.9078405346252328,0.9165629708676228
50,1013196.0984627942,0.1388488399929601,-43.8237385235936,526852.4405191046,381574.30475139664,0.941439777611504,0.9372113607614267,0.5549812720294908,0.5384885447334552,0.9093215005196581,0.9150288950199634
